,Производитель,Модель,Ширина,Профиль,"Диаметр, R",Индекс скорости,Индекс нагрузки,Цена,Производитель_числ,Индекс скорости_числ
235,Pirelli,Formula Ice,205.0,55.0,16.0,T,91.0,5700.0,29.0,5.0
236,Кама,ALGA (НК-531),175.0,65.0,14.0,T,82.0,2920.0,13.0,5.0
237,Nokian,Tyres Nordman 8,185.0,65.0,15.0,T,92.0,6360.0,23.0,5.0
238,Nokian,Tyres Hakkapeliitta 10p SUV,215.0,65.0,16.0,T,102.0,12030.0,23.0,5.0
239,Nokian,Tyres Nordman 8,205.0,65.0,16.0,T,99.0,9510.0,23.0,5.0
240,Cordiant,Snow Cross 2 SUV,225.0,65.0,17.0,T,106.0,6980.0,0.0,5.0
241,Nokian,Tyres Hakkapeliitta 9,205.0,55.0,16.0,T,94.0,9840.0,23.0,5.0
242,Nankang,SW8 SUV,235.0,55.0,18.0,T,104.0,8990.0,33.0,5.0
243,Nokian,Tyres Nordman 8 SUV,235.0,55.0,18.0,T,104.0,16400.0,23.0,5.0
244,Ling,Long Green-Max Winter HP,175.0,65.0,14.0,H,86.0,3190.0,24.0,0.0
245,Viatti,Brina Nordico (V-522),205.0,55.0,16.0,T,91.0,4390.0,20.0,5.0
246,Michelin,X-Ice North 4,205.0,55.0,16.0,T,94.0,9970.0,19.0,5.0
247,Tunga,Nordway 2,175.0,65.0,14.0,Q,82.0,2820.0,4.0,9.0
248,Cordiant,Snow Cross 2,175.0,70.0,14.0,T,88.0,3450.0,0.0,5.0
249,Кама,Евро 519,175.0,65.0,14.0,T,82.0,3210.0,13.0,5.0
250,Nokian,Tyres Nordman 7,195.0,60.0,15.0,T,92.0,5950.0,23.0,5.0
251,Cordiant,Snow Cross 2,215.0,60.0,16.0,T,99.0,5880.0,0.0,5.0
252,Pirelli,Scorpion Ice Zero 2,225.0,55.0,19.0,H,103.0,20140.0,29.0,0.0
253,Viatti,Brina зима (V-521),175.0,70.0,14.0,T,84.0,3440.0,20.0,5.0
254,Viatti,Brina зима (V-521),205.0,55.0,16.0,T,91.0,4800.0,20.0,5.0
255,Viatti,Brina зима (V-521),185.0,55.0,15.0,T,82.0,5690.0,20.0,5.0
256,Nokian,Tyres Nordman RS2,205.0,60.0,16.0,R,96.0,6580.0,23.0,8.0
257,Pirelli,Formula Ice,195.0,60.0,15.0,T,88.0,5210.0,29.0,5.0
258,Pirelli,Formula Ice,225.0,65.0,17.0,T,102.0,7430.0,29.0,5.0
259,Viatti,Brina Nordico (V-522),185.0,65.0,15.0,T,88.0,3600.0,20.0,5.0
260,Кама,505,175.0,65.0,14.0,T,82.0,2780.0,13.0,5.0
261,Nokian,Tyres Nordman RS2 SUV,235.0,60.0,18.0,R,107.0,9850.0,23.0,8.0
262,Nokian,Tyres Nordman 7,175.0,65.0,14.0,T,86.0,5410.0,23.0,5.0
263,Nokian,Tyres Nordman 7,195.0,65.0,15.0,T,95.0,6220.0,23.0,5.0
264,Nokian,Tyres Nordman 7,205.0,55.0,16.0,T,94.0,7180.0,23.0,5.0
265,Nokian,Tyres Nordman 7,185.0,65.0,15.0,T,92.0,5920.0,23.0,5.0
266,Viatti,Bosco Nordico (V-523),225.0,60.0,17.0,T,99.0,6970.0,20.0,5.0
267,Tunga,Nordway 2,175.0,65.0,14.0,Q,82.0,2820.0,4.0,9.0
268,Cordiant,Snow Cross 2,175.0,70.0,14.0,T,88.0,3450.0,0.0,5.0
269,Кама,Евро 519,175.0,65.0,14.0,T,82.0,3210.0,13.0,5.0
270,Hankook,Winter i Pike RS2 W429,205.0,55.0,16.0,T,91.0,8180.0,6.0,5.0
271,Cordiant,Snow Cross 2 SUV,225.0,65.0,17.0,T,106.0,6980.0,0.0,5.0
272,Кама,Евро 519,175.0,70.0,14.0,T,84.0,3480.0,13.0,5.0
273,Viatti,Brina Nordico (V-522),185.0,65.0,14.0,T,86.0,3490.0,20.0,5.0
274,Michelin,X-Ice North 4,225.0,45.0,17.0,T,94.0,17200.0,19.0,5.0
275,Hankook,Winter i Pike RS2 W429,205.0,50.0,17.0,T,93.0,11600.0,6.0,5.0
276,Dunlop,Grandtrek Ice03,225.0,65.0,17.0,T,106.0,11430.0,14.0,5.0
277,Laufenn,I FIT ICE LW71,195.0,60.0,15.0,T,92.0,5520.0,11.0,5.0
278,Ling,Long Nord Master,205.0,60.0,16.0,T,96.0,4960.0,24.0,5.0
279,Nokian,Tyres Hakkapeliitta LT3,245.0,75.0,16.0,Q,120.0,19140.0,23.0,9.0
280,Nokian,Tyres Hakkapeliitta R3,195.0,60.0,15.0,R,88.0,6960.0,23.0,8.0
281,Tigar,Ice,185.0,60.0,15.0,T,88.0,5520.0,21.0,5.0
282,Bridgestone,Ice Cruiser 7000 S,225.0,65.0,17.0,T,102.0,10960.0,16.0,5.0
283,Laufenn,I FIT ICE LW71,185.0,70.0,14.0,T,92.0,5840.0,11.0,5.0
284,Goodyear,Ultra Grip 600,205.0,55.0,16.0,T,94.0,8410.0,10.0,5.0
285,Cordiant,Winter Drive 2 SUV,225.0,65.0,17.0,T,106.0,6370.0,0.0,5.0
286,Cordiant,Snow Cross 2 SUV,205.0,65.0,16.0,T,99.0,5650.0,0.0,5.0
287,Nokian,Tyres Hakkapeliitta R5 SUV,265.0,60.0,18.0,R,114.0,20800.0,23.0,8.0
288,Nokian,Tyres Nordman 7 SUV,235.0,65.0,17.0,T,108.0,10910.0,23.0,5.0
289,Cordiant,Snow Cross,215.0,60.0,16.0,T,95.0,5700.0,0.0,5.0
290,Pirelli,Winter Ice Zero,265.0,50.0,20.0,H,111.0,18010.0,29.0,0.0
291,Hankook,Winter i Pike RS2 W429,195.0,55.0,15.0,T,89.0,8860.0,6.0,5.0
292,Nankang,SW8,185.0,55.0,15.0,T,86.0,5160.0,33.0,5.0
293,Cordiant,Winter Drive,215.0,65.0,16.0,T,102.0,5550.0,0.0,5.0
294,Hankook,Winter i Pike RS2 W429,185.0,70.0,14.0,T,92.0,6510.0,6.0,5.0
295,Matador,MP30 Sibir Ice 2,205.0,55.0,16.0,T,94.0,5870.0,5.0,5.0
296,Bridgestone,Blizzak VRX,205.0,55.0,16.0,S,91.0,9010.0,16.0,7.0
297,Cordiant,Snow Cross 2 SUV,215.0,60.0,17.0,T,100.0,7540.0,0.0,5.0
298,Cordiant,Snow Cross,205.0,55.0,16.0,T,94.0,4540.0,0.0,5.0
299,Pirelli,Ice Zero Friction,185.0,60.0,15.0,T,88.0,5150.0,29.0,5.0
300,Cordiant,Snow Cross,205.0,55.0,16.0,T,94.0,4540.0,0.0,5.0
301,Viatti,Brina зима (V-521),195.0,60.0,15.0,T,88.0,3920.0,20.0,5.0
302,Cordiant,Snow Cross,195.0,55.0,16.0,T,91.0,5100.0,0.0,5.0
303,Nankang,SW8,205.0,50.0,17.0,T,93.0,6290.0,33.0,5.0
304,Viatti,Brina Nordico (V-522),195.0,55.0,15.0,T,85.0,5000.0,20.0,5.0
305,Cordiant,Snow Cross,185.0,65.0,14.0,T,86.0,3450.0,0.0,5.0
306,Nokian,Tyres Nordman 7 SUV,205.0,70.0,15.0,T,100.0,7410.0,23.0,5.0
307,Cordiant,Snow Cross 2,185.0,60.0,14.0,T,86.0,3600.0,0.0,5.0
308,Viatti,Bosco Nordico (V-523),205.0,70.0,15.0,T,96.0,5320.0,20.0,5.0
