,Производитель,Модель,Ширина,Профиль,"Диаметр, R",Индекс скорости,Индекс нагрузки,Цена,Производитель_числ,Индекс скорости_числ
2093,Kumho,Wintercraft Ice WI31,225.0,45.0,17.0,T,94.0,10050.0,30.0,5.0
2094,Kumho,Wintercraft Ice WI31,215.0,45.0,17.0,T,91.0,9940.0,30.0,5.0
2095,Kumho,Wintercraft Ice WI31,215.0,50.0,17.0,T,95.0,9190.0,30.0,5.0
2096,Kumho,Wintercraft Ice WI31,225.0,55.0,17.0,T,101.0,9750.0,30.0,5.0
2097,Kumho,Wintercraft Ice WI31,215.0,60.0,16.0,T,99.0,7190.0,30.0,5.0
2098,Kumho,Wintercraft Ice WI31,225.0,60.0,16.0,T,102.0,9060.0,30.0,5.0
2099,Kumho,Wintercraft Ice WI31,195.0,55.0,15.0,T,89.0,6100.0,30.0,5.0
2100,Kumho,Wintercraft Ice WI31,235.0,45.0,17.0,T,97.0,10880.0,30.0,5.0
2101,Kumho,Wintercraft Ice WI31,195.0,55.0,16.0,T,91.0,7350.0,30.0,5.0
2102,Hankook,DynaPro i cept RW08,205.0,75.0,15.0,Q,97.0,9530.0,6.0,9.0
2103,Yokohama,iceGUARD IG55,265.0,45.0,20.0,T,104.0,28470.0,7.0,5.0
2104,Yokohama,iceGUARD IG55,225.0,60.0,17.0,T,103.0,10310.0,7.0,5.0
2105,Yokohama,iceGUARD IG55,225.0,70.0,16.0,T,107.0,11571.0,7.0,5.0
2106,Yokohama,iceGUARD IG55,275.0,65.0,17.0,T,119.0,14450.0,7.0,5.0
2107,Yokohama,iceGUARD IG55,215.0,55.0,16.0,T,97.0,10244.0,7.0,5.0
2108,Yokohama,iceGUARD IG55,235.0,40.0,18.0,T,95.0,20735.0,7.0,5.0
2109,Yokohama,iceGUARD IG55,295.0,40.0,21.0,T,111.0,29809.0,7.0,5.0
2110,Yokohama,iceGUARD IG55,215.0,70.0,16.0,T,100.0,10550.0,7.0,5.0
2111,Yokohama,iceGUARD IG55,245.0,45.0,19.0,T,102.0,25233.0,7.0,5.0
2112,Yokohama,iceGUARD IG55,225.0,55.0,18.0,T,102.0,12740.0,7.0,5.0
2113,Yokohama,iceGUARD IG60,205.0,60.0,16.0,Q,92.0,13091.0,7.0,9.0
2114,Yokohama,iceGUARD IG65,235.0,45.0,18.0,T,98.0,17290.0,7.0,5.0
2115,Yokohama,iceGUARD IG65,235.0,55.0,20.0,T,102.0,17630.0,7.0,5.0
2116,Yokohama,iceGUARD IG65,245.0,45.0,19.0,T,102.0,18092.0,7.0,5.0
2117,Yokohama,iceGUARD IG65,275.0,40.0,20.0,T,106.0,19570.0,7.0,5.0
2118,Yokohama,iceGUARD IG65,275.0,45.0,20.0,T,110.0,19220.0,7.0,5.0
2119,Yokohama,iceGUARD IG65,295.0,40.0,21.0,T,111.0,31317.0,7.0,5.0
2120,Yokohama,iceGUARD IG65,315.0,35.0,20.0,T,110.0,28795.0,7.0,5.0
2121,Yokohama,iceGUARD IG60,225.0,60.0,18.0,Q,104.0,21697.0,7.0,9.0
2122,Yokohama,iceGUARD IG60,225.0,65.0,17.0,Q,102.0,13819.0,7.0,9.0
2123,Yokohama,iceGUARD IG60A,235.0,40.0,18.0,Q,95.0,21918.0,7.0,9.0
2124,Yokohama,iceGUARD IG60A,255.0,45.0,19.0,Q,104.0,18590.0,7.0,9.0
2125,Yokohama,iceGUARD IG60A,285.0,40.0,19.0,Q,107.0,31810.0,7.0,9.0
2126,Yokohama,W.Drive WY01,225.0,75.0,16.0,R,121.0,17563.0,7.0,8.0
2127,Yokohama,BluEarth Winter V905,275.0,45.0,21.0,V,110.0,22880.0,7.0,2.0
2128,Goodyear,UltraGrip Performance +,265.0,45.0,20.0,V,108.0,24510.0,10.0,2.0
2129,Goodyear,UltraGrip Performance +,235.0,40.0,19.0,V,96.0,23690.0,10.0,2.0
2130,Goodyear,UltraGrip Ice Arctic SoundComfort,235.0,55.0,18.0,T,104.0,15110.0,10.0,5.0
2131,Goodyear,UltraGrip Performance + Run Flat,225.0,50.0,18.0,V,99.0,23240.0,10.0,2.0
2132,Goodyear,UltraGrip Performance +,235.0,45.0,17.0,V,97.0,18550.0,10.0,2.0
2133,Toyo,OBG3S,255.0,55.0,20.0,T,110.0,25311.0,34.0,5.0
2134,Goodyear,UltraGrip Arctic 2,205.0,55.0,16.0,T,94.0,9830.0,10.0,5.0
2135,Goodyear,Ultra Grip Arctic 2 SUV,215.0,60.0,17.0,T,100.0,17410.0,10.0,5.0
2136,Goodyear,UltraGrip Performance + SUV,215.0,65.0,17.0,V,99.0,14550.0,10.0,2.0
2137,Goodyear,UltraGrip Arctic 2,225.0,55.0,17.0,T,101.0,13770.0,10.0,5.0
2138,Goodyear,UltraGrip Performance + SUV,275.0,40.0,20.0,V,106.0,24510.0,10.0,2.0
2139,Goodyear,UltraGrip 8 Performance,285.0,45.0,20.0,V,112.0,24630.0,10.0,2.0
2140,Goodyear,UltraGrip Ice 2+,245.0,40.0,20.0,T,99.0,26710.0,10.0,5.0
2141,Goodyear,UltraGrip Arctic 2,215.0,50.0,18.0,T,92.0,18870.0,10.0,5.0
2142,Goodyear,UltraGrip Arctic 2,235.0,55.0,18.0,T,104.0,16800.0,10.0,5.0
2143,Cordiant,Winter Drive 2,195.0,60.0,15.0,T,92.0,4000.0,0.0,5.0
2144,Landsail,Ice Star IS33,225.0,55.0,17.0,T,97.0,7670.0,9.0,5.0
2145,Doublestar,DW09,215.0,50.0,17.0,H,91.0,6050.0,22.0,0.0
2146,Roadstone,Eurovis Alpine WH1,175.0,65.0,15.0,T,84.0,4490.0,38.0,5.0
2147,Doublestar,DW02,235.0,60.0,18.0,T,103.0,7880.0,22.0,5.0
2148,Doublestar,DW07,225.0,60.0,16.0,T,98.0,6630.0,22.0,5.0
2149,Doublestar,DW09,255.0,55.0,20.0,H,107.0,9870.0,22.0,0.0
2150,Doublestar,DW02,275.0,40.0,19.0,T,105.0,8680.0,22.0,5.0
2151,Landsail,Ice Star IS37,275.0,60.0,20.0,S,115.0,12630.0,9.0,7.0
2152,Doublestar,DW08,215.0,65.0,16.0,H,102.0,5620.0,22.0,0.0
2153,Bridgestone,Blizzak LM005,265.0,50.0,19.0,V,110.0,26030.0,16.0,2.0
2154,Bridgestone,Blizzak LM005,225.0,40.0,19.0,W,93.0,26230.0,16.0,6.0
2155,Bridgestone,Blizzak LM005,215.0,60.0,17.0,V,100.0,17330.0,16.0,2.0
2156,Bridgestone,Blizzak LM005,225.0,40.0,18.0,V,92.0,16770.0,16.0,2.0
2157,Bridgestone,Blizzak LM005,225.0,50.0,17.0,V,98.0,17000.0,16.0,2.0
2158,Bridgestone,Blizzak LM005 Run Flat,205.0,60.0,16.0,H,96.0,15200.0,16.0,0.0
2159,Dunlop,Winter Maxx SJ8,235.0,50.0,19.0,R,103.0,16930.0,14.0,8.0
2160,Dunlop,Winter Maxx SJ8,255.0,45.0,20.0,R,105.0,19100.0,14.0,8.0
2161,Dunlop,Winter Maxx SJ8,265.0,45.0,20.0,R,108.0,19610.0,14.0,8.0
2162,Dunlop,Winter Maxx WM02 Run Flat,225.0,50.0,18.0,T,95.0,19180.0,14.0,5.0
2163,Tigar,Ice,215.0,60.0,16.0,T,99.0,7730.0,21.0,5.0
2164,Tigar,Ice,215.0,50.0,17.0,T,95.0,9946.0,21.0,5.0
2165,Tigar,Ice SUV,265.0,65.0,17.0,T,116.0,16343.0,21.0,5.0
2166,Tigar,Ice SUV,265.0,60.0,18.0,T,114.0,17502.0,21.0,5.0
2167,Tigar,Ice SUV,275.0,40.0,20.0,T,106.0,17680.0,21.0,5.0
2168,Tigar,Winter SUV,275.0,45.0,20.0,V,110.0,15620.0,21.0,2.0
2169,Goodyear,UltraGrip Performance +,295.0,40.0,20.0,V,110.0,28020.0,10.0,2.0
2170,Cordiant,Snow Cross 2 SUV,235.0,65.0,17.0,T,108.0,7556.0,0.0,5.0
2171,BFGoodrich,G Force Stud,215.0,65.0,16.0,Q,102.0,8100.0,17.0,9.0
2172,Bridgestone,Blizzak Spike-02,215.0,55.0,16.0,T,93.0,11012.0,16.0,5.0
2173,Gislaved,Nord Frost 200 ID,225.0,55.0,17.0,T,101.0,11410.0,31.0,5.0
2174,Gislaved,Nord Frost 200 SUV ID,265.0,65.0,17.0,T,116.0,12970.0,31.0,5.0
2175,Matador,MP30 Sibir Ice 2 SUV,225.0,75.0,16.0,T,108.0,10070.0,5.0,5.0
2176,Yokohama,BluEarth Winter V905,325.0,30.0,21.0,V,108.0,43690.0,7.0,2.0
2177,Yokohama,iceGUARD G075,215.0,70.0,16.0,Q,100.0,11470.0,7.0,9.0
2178,Yokohama,iceGUARD IG60,215.0,65.0,16.0,Q,98.0,9263.0,7.0,9.0
2179,Yokohama,iceGUARD IG60A,245.0,40.0,19.0,Q,98.0,18940.0,7.0,9.0
2180,Yokohama,iceGUARD IG55,225.0,60.0,18.0,T,104.0,14010.0,7.0,5.0
2181,Yokohama,iceGUARD IG55,225.0,55.0,17.0,T,101.0,11500.0,7.0,5.0
2182,Yokohama,iceGUARD IG55,175.0,65.0,14.0,T,86.0,5070.0,7.0,5.0
2183,Yokohama,iceGUARD IG55,215.0,65.0,16.0,T,102.0,7430.0,7.0,5.0
2184,Nankang,SW8,215.0,55.0,18.0,T,99.0,10650.0,33.0,5.0
2185,Nankang,SW8,205.0,60.0,16.0,T,96.0,5600.0,33.0,5.0
2186,Nankang,SW8,275.0,65.0,17.0,T,119.0,11960.0,33.0,5.0
2187,Nankang,SV1,195.0,50.0,15.0,H,82.0,4490.0,33.0,0.0
2188,Nankang,ICE1,225.0,55.0,17.0,Q,101.0,7690.0,33.0,9.0
2189,Nankang,ICE1,225.0,45.0,17.0,Q,94.0,7990.0,33.0,9.0
2190,Nankang,ICE1,205.0,60.0,16.0,Q,96.0,4990.0,33.0,9.0
2191,Nankang,SW7,235.0,50.0,18.0,T,101.0,9490.0,33.0,5.0
2192,Tigar,Ice,195.0,55.0,15.0,T,89.0,5710.0,21.0,5.0
2193,Doublestar,DW01,185.0,65.0,15.0,T,88.0,4550.0,22.0,5.0
2194,Doublestar,DLA02,235.0,65.0,16.0,R,115.0,8270.0,22.0,8.0
2195,Doublestar,DLA01,205.0,55.0,17.0,V,95.0,5950.0,22.0,2.0
2196,Doublestar,DW01,205.0,65.0,15.0,T,94.0,5520.0,22.0,5.0
2197,Doublestar,DLA01,195.0,65.0,15.0,V,91.0,4260.0,22.0,2.0
2198,Doublestar,DLA01,275.0,65.0,18.0,T,116.0,11210.0,22.0,5.0
2199,Doublestar,DW01,205.0,65.0,16.0,T,95.0,5980.0,22.0,5.0
2200,Landsail,Ice Star IS33,185.0,60.0,15.0,T,88.0,4390.0,9.0,5.0
2201,Landsail,Ice Star IS33,185.0,65.0,15.0,T,88.0,4410.0,9.0,5.0
2202,Doublestar,DW02,235.0,65.0,17.0,T,108.0,7530.0,22.0,5.0
2203,Doublestar,DW08,185.0,65.0,15.0,T,88.0,3820.0,22.0,5.0
2204,Roadstone,Euro-win 650,225.0,65.0,16.0,R,112.0,10650.0,38.0,8.0
2205,Landsail,Ice Star IS37,275.0,40.0,20.0,T,106.0,10380.0,9.0,5.0
2206,Doublestar,DW02,245.0,55.0,19.0,T,103.0,8210.0,22.0,5.0
2207,Doublestar,DW02,275.0,45.0,21.0,T,110.0,9950.0,22.0,5.0
2208,Landsail,Ice Star IS37,225.0,65.0,17.0,T,102.0,7560.0,9.0,5.0
2209,Doublestar,DW02,235.0,45.0,17.0,T,94.0,6560.0,22.0,5.0
2210,Landsail,Ice Star IS37,275.0,55.0,20.0,H,117.0,12140.0,9.0,0.0
2211,Doublestar,DW02,225.0,55.0,16.0,T,95.0,6120.0,22.0,5.0
2212,Doublestar,DW02,235.0,55.0,19.0,S,101.0,8870.0,22.0,7.0
2213,Nankang,SV1,215.0,55.0,16.0,H,97.0,5590.0,33.0,0.0
2214,Nankang,SW9,235.0,40.0,18.0,T,95.0,10930.0,33.0,5.0
2215,BFGoodrich,G Force Winter 2 SUV,235.0,50.0,19.0,V,103.0,17380.0,17.0,2.0
2216,Tigar,Winter SUV,255.0,55.0,19.0,V,111.0,12640.0,21.0,2.0
2217,BFGoodrich,G Force Winter 2 SUV,215.0,70.0,16.0,H,100.0,10990.0,17.0,0.0
2218,Matador,MP93 Nordicca,195.0,50.0,15.0,H,82.0,5090.0,5.0,0.0
2219,Nexen,WINGUARD Sport2,215.0,40.0,18.0,V,89.0,12100.0,12.0,2.0
2220,Centara,SNOW CUTTER,215.0,70.0,16.0,T,100.0,6960.0,28.0,5.0
2221,Nexen,WINGUARD Sport2 SUV,235.0,55.0,18.0,H,104.0,10900.0,12.0,0.0
2222,Joyroad,Winter Rx818,215.0,70.0,16.0,T,100.0,7130.0,3.0,5.0
2223,Sailun,Ice Blazer WST3,215.0,65.0,16.0,T,102.0,6660.0,32.0,5.0
2224,Cordiant,Winter Drive,155.0,70.0,13.0,T,75.0,3380.0,0.0,5.0
2225,Kumho,I Zen KW31,205.0,65.0,16.0,R,95.0,6780.0,30.0,8.0
2226,Kumho,I Zen KW31,235.0,50.0,18.0,R,101.0,10670.0,30.0,8.0
2227,Kumho,I Zen KW31,225.0,45.0,17.0,R,94.0,6770.0,30.0,8.0
2228,Kumho,I Zen KW31,195.0,60.0,15.0,R,88.0,4430.0,30.0,8.0
2229,Cordiant,Winter Drive,175.0,70.0,13.0,T,82.0,3290.0,0.0,5.0
2230,Nexen,WINGUARD WinSpike SUV,245.0,75.0,16.0,Q,120.0,14105.0,12.0,9.0
2231,Goodyear,Ultra Grip Ice Arctic,205.0,55.0,16.0,T,94.0,6350.0,10.0,5.0
2232,Goodyear,Ultra Grip Ice Arctic,215.0,55.0,16.0,T,97.0,11030.0,10.0,5.0
2233,Yokohama,iceGUARD IG65,225.0,55.0,17.0,T,101.0,14937.0,7.0,5.0
2234,Yokohama,iceGUARD IG65,235.0,55.0,17.0,T,103.0,17121.0,7.0,5.0
2235,Yokohama,iceGUARD IG65,245.0,50.0,18.0,T,104.0,21892.0,7.0,5.0
2236,Dunlop,SP Winter Ice 02,195.0,65.0,15.0,T,95.0,4780.0,14.0,5.0
2237,Dunlop,SP Winter Ice 02,235.0,55.0,17.0,T,103.0,11240.0,14.0,5.0
2238,Dunlop,SP Winter Ice 02,275.0,35.0,20.0,T,102.0,21690.0,14.0,5.0
2239,Yokohama,iceGUARD IG60,225.0,50.0,17.0,Q,94.0,12275.0,7.0,9.0
2240,Yokohama,iceGUARD IG60,225.0,40.0,18.0,Q,92.0,14650.0,7.0,9.0
2241,Yokohama,iceGUARD IG60,195.0,65.0,15.0,Q,91.0,5730.0,7.0,9.0
2242,Yokohama,iceGUARD IG60,185.0,60.0,14.0,Q,82.0,8164.0,7.0,9.0
2243,Yokohama,iceGUARD IG60,185.0,70.0,14.0,Q,88.0,5680.0,7.0,9.0
2244,Yokohama,iceGUARD IG60,205.0,50.0,16.0,Q,87.0,14144.0,7.0,9.0
2245,Yokohama,iceGUARD IG60,205.0,55.0,17.0,Q,91.0,13610.0,7.0,9.0
2246,Yokohama,iceGUARD IG60,225.0,60.0,16.0,Q,98.0,10650.0,7.0,9.0
2247,Yokohama,iceGUARD IG60,185.0,65.0,14.0,Q,86.0,5740.0,7.0,9.0
2248,Yokohama,iceGUARD IG60,225.0,50.0,18.0,Q,95.0,18720.0,7.0,9.0
2249,Yokohama,iceGUARD IG60,195.0,55.0,16.0,Q,87.0,9040.0,7.0,9.0
2250,Yokohama,iceGUARD IG60,225.0,55.0,17.0,Q,97.0,12320.0,7.0,9.0
2251,Yokohama,iceGUARD IG60,205.0,65.0,16.0,Q,95.0,9400.0,7.0,9.0
2252,Yokohama,iceGUARD IG60,205.0,65.0,15.0,Q,94.0,8970.0,7.0,9.0
2253,Yokohama,iceGUARD IG60,225.0,45.0,18.0,Q,95.0,17220.0,7.0,9.0
2254,Yokohama,iceGUARD IG60,205.0,55.0,16.0,Q,91.0,7940.0,7.0,9.0
2255,Yokohama,iceGUARD IG60,195.0,50.0,16.0,Q,84.0,10260.0,7.0,9.0
2256,Yokohama,iceGUARD IG60,205.0,45.0,17.0,Q,88.0,13830.0,7.0,9.0
2257,Yokohama,iceGUARD IG60,205.0,60.0,16.0,Q,96.0,10985.0,7.0,9.0
2258,Yokohama,iceGUARD IG60,195.0,60.0,15.0,Q,88.0,6230.0,7.0,9.0
2259,Yokohama,iceGUARD IG60,195.0,55.0,15.0,Q,85.0,7938.0,7.0,9.0
2260,Yokohama,iceGUARD IG60,195.0,70.0,14.0,Q,91.0,7190.0,7.0,9.0
2261,Yokohama,iceGUARD IG60,215.0,60.0,17.0,Q,96.0,11760.0,7.0,9.0
2262,Yokohama,iceGUARD IG60,225.0,55.0,16.0,Q,99.0,12472.0,7.0,9.0
2263,Yokohama,iceGUARD IG60,215.0,45.0,17.0,Q,87.0,12800.0,7.0,9.0
2264,Yokohama,iceGUARD IG60,225.0,60.0,17.0,Q,99.0,11333.0,7.0,9.0
2265,Yokohama,iceGUARD IG60,215.0,60.0,16.0,Q,95.0,8910.0,7.0,9.0
2266,Yokohama,iceGUARD IG60,175.0,65.0,14.0,Q,82.0,6864.0,7.0,9.0
2267,Yokohama,iceGUARD IG60,225.0,45.0,17.0,Q,91.0,12850.0,7.0,9.0
2268,Yokohama,iceGUARD IG60,185.0,55.0,15.0,Q,82.0,8294.0,7.0,9.0
2269,Yokohama,iceGUARD IG60,185.0,60.0,15.0,Q,84.0,6160.0,7.0,9.0
2270,Yokohama,iceGUARD IG60,205.0,50.0,17.0,Q,93.0,11250.0,7.0,9.0
2271,Yokohama,iceGUARD IG60,225.0,45.0,19.0,Q,92.0,18299.0,7.0,9.0
2272,Yokohama,iceGUARD IG60A,245.0,45.0,18.0,Q,100.0,23452.0,7.0,9.0
2273,Yokohama,iceGUARD IG60A,235.0,50.0,18.0,Q,97.0,17570.0,7.0,9.0
2274,Yokohama,iceGUARD IG60A,265.0,40.0,19.0,Q,102.0,26740.0,7.0,9.0
2275,Yokohama,iceGUARD IG60A,245.0,45.0,19.0,Q,98.0,17820.0,7.0,9.0
2276,Yokohama,iceGUARD IG60A,235.0,50.0,17.0,Q,96.0,15820.0,7.0,9.0
2277,Yokohama,iceGUARD IG60A,245.0,50.0,18.0,Q,104.0,17530.0,7.0,9.0
2278,Yokohama,iceGUARD IG60A,245.0,40.0,18.0,Q,93.0,16270.0,7.0,9.0
2279,Yokohama,iceGUARD IG60A,255.0,40.0,18.0,Q,99.0,20870.0,7.0,9.0
2280,Yokohama,BluEarth Winter V902B,265.0,35.0,18.0,V,97.0,18750.0,7.0,2.0
2281,Yokohama,iceGUARD IG60A,235.0,45.0,18.0,Q,94.0,18720.0,7.0,9.0
2282,Kumho,Wintercraft Ice WI31,225.0,45.0,17.0,T,94.0,10050.0,30.0,5.0
2283,Kumho,Wintercraft Ice WI31,215.0,45.0,17.0,T,91.0,9940.0,30.0,5.0
2284,Kumho,Wintercraft Ice WI31,215.0,50.0,17.0,T,95.0,9190.0,30.0,5.0
2285,Kumho,Wintercraft Ice WI31,225.0,55.0,17.0,T,101.0,9750.0,30.0,5.0
2286,Kumho,Wintercraft Ice WI31,215.0,60.0,16.0,T,99.0,7190.0,30.0,5.0
2287,Kumho,Wintercraft Ice WI31,225.0,60.0,16.0,T,102.0,9060.0,30.0,5.0
2288,Kumho,Wintercraft Ice WI31,195.0,55.0,15.0,T,89.0,6100.0,30.0,5.0
2289,Kumho,Wintercraft Ice WI31,235.0,45.0,17.0,T,97.0,10880.0,30.0,5.0
2290,Kumho,Wintercraft Ice WI31,195.0,55.0,16.0,T,91.0,7350.0,30.0,5.0
2291,Hankook,DynaPro i cept RW08,205.0,75.0,15.0,Q,97.0,9530.0,6.0,9.0
2292,Yokohama,iceGUARD IG55,265.0,45.0,20.0,T,104.0,28470.0,7.0,5.0
2293,Yokohama,iceGUARD IG65,235.0,65.0,17.0,T,108.0,10950.0,7.0,5.0
2294,Yokohama,iceGUARD IG65,225.0,45.0,18.0,T,95.0,15630.0,7.0,5.0
2295,Yokohama,iceGUARD IG65,235.0,55.0,18.0,T,104.0,14570.0,7.0,5.0
2296,Yokohama,iceGUARD IG65,235.0,60.0,18.0,T,107.0,14640.0,7.0,5.0
2297,Yokohama,iceGUARD IG65,285.0,60.0,18.0,T,116.0,15960.0,7.0,5.0
2298,Yokohama,iceGUARD G075,215.0,70.0,15.0,Q,98.0,9780.0,7.0,9.0
2299,Yokohama,iceGUARD G075,175.0,80.0,16.0,Q,91.0,10842.0,7.0,9.0
2300,Yokohama,iceGUARD G075,215.0,65.0,17.0,Q,99.0,13745.0,7.0,9.0
2301,Yokohama,iceGUARD G075,215.0,80.0,15.0,Q,102.0,9420.0,7.0,9.0
2302,Yokohama,iceGUARD G075,235.0,55.0,17.0,Q,103.0,14960.0,7.0,9.0
2303,Yokohama,iceGUARD G075,275.0,55.0,20.0,Q,117.0,18560.0,7.0,9.0
2304,Yokohama,iceGUARD G075,275.0,40.0,20.0,Q,106.0,20170.0,7.0,9.0
2305,Yokohama,iceGUARD IG65,205.0,65.0,16.0,T,99.0,8540.0,7.0,5.0
2306,Yokohama,iceGUARD IG65,235.0,45.0,17.0,T,97.0,18304.0,7.0,5.0
2307,Yokohama,iceGUARD IG65,225.0,55.0,17.0,T,101.0,14937.0,7.0,5.0
2308,Yokohama,iceGUARD IG65,235.0,55.0,17.0,T,103.0,17121.0,7.0,5.0
2309,Yokohama,iceGUARD IG65,245.0,50.0,18.0,T,104.0,21892.0,7.0,5.0
2310,Dunlop,SP Winter Ice 02,195.0,65.0,15.0,T,95.0,4780.0,14.0,5.0
2311,Dunlop,SP Winter Ice 02,235.0,55.0,17.0,T,103.0,11240.0,14.0,5.0
2312,Dunlop,SP Winter Ice 02,275.0,35.0,20.0,T,102.0,21690.0,14.0,5.0
2313,Bridgestone,Blizzak Ice,225.0,60.0,16.0,S,98.0,14380.0,16.0,7.0
2314,Bridgestone,Blizzak Ice,205.0,60.0,15.0,S,91.0,10020.0,16.0,7.0
2315,Bridgestone,Blizzak DM-V2,215.0,70.0,16.0,S,100.0,13890.0,16.0,7.0
2316,Bridgestone,Blizzak DM-V2,265.0,50.0,20.0,T,107.0,22680.0,16.0,5.0
2317,Bridgestone,Blizzak DM-V2,225.0,55.0,18.0,T,98.0,14310.0,16.0,5.0
2318,Bridgestone,Blizzak DM-V2,215.0,70.0,16.0,S,98.0,13890.0,16.0,7.0
2319,Bridgestone,Blizzak DM-V2,235.0,60.0,17.0,S,102.0,16530.0,16.0,7.0
2320,Goodyear,UltraGrip Ice Gen-1 SUV,235.0,65.0,18.0,T,110.0,12300.0,10.0,5.0
2321,Goodyear,UltraGrip Ice Gen-1 SUV,255.0,55.0,19.0,T,111.0,14040.0,10.0,5.0
2322,Goodyear,UltraGrip Ice Gen-1 SUV,235.0,55.0,19.0,T,105.0,14610.0,10.0,5.0
2323,Goodyear,UltraGrip Ice Gen-1 SUV,255.0,50.0,19.0,T,107.0,14650.0,10.0,5.0
2324,Dunlop,Winter Maxx SJ8,235.0,55.0,18.0,R,100.0,13780.0,14.0,8.0
2325,Dunlop,Winter Maxx SJ8,275.0,60.0,20.0,R,115.0,17840.0,14.0,8.0
2326,Dunlop,Winter Maxx WM02,175.0,65.0,14.0,T,82.0,6070.0,14.0,5.0
2327,Dunlop,Winter Maxx WM02,205.0,65.0,15.0,T,94.0,8030.0,14.0,5.0
2328,Dunlop,Winter Maxx WM02,205.0,65.0,16.0,T,95.0,10000.0,14.0,5.0
2329,Dunlop,Winter Maxx WM02,215.0,55.0,16.0,T,97.0,10110.0,14.0,5.0
2330,Dunlop,Winter Maxx WM02,225.0,40.0,18.0,T,92.0,14090.0,14.0,5.0
2331,Dunlop,Winter Maxx WM02,225.0,45.0,17.0,T,94.0,13000.0,14.0,5.0
2332,Dunlop,Winter Maxx WM02,225.0,45.0,18.0,T,95.0,14940.0,14.0,5.0
2333,Yokohama,iceGUARD IG65,225.0,60.0,17.0,T,103.0,11190.0,7.0,5.0
2334,Yokohama,iceGUARD IG65,235.0,60.0,17.0,T,106.0,14811.0,7.0,5.0
2335,Yokohama,iceGUARD G075,235.0,60.0,16.0,Q,100.0,13140.0,7.0,9.0
2336,Yokohama,iceGUARD G075,265.0,70.0,15.0,Q,112.0,15980.0,7.0,9.0
2337,Dunlop,Winter Maxx SJ8,225.0,55.0,18.0,R,98.0,12830.0,14.0,8.0
2338,Dunlop,Winter Maxx SJ8,235.0,60.0,17.0,R,102.0,13520.0,14.0,8.0
2339,Dunlop,Winter Maxx SJ8,245.0,60.0,18.0,R,105.0,15090.0,14.0,8.0
2340,Goodyear,UltraGrip RunFlat,255.0,50.0,19.0,V,107.0,28140.0,10.0,2.0
2341,Yokohama,BluEarth Winter V905,265.0,65.0,17.0,T,112.0,15430.0,7.0,5.0
2342,Yokohama,BluEarth Winter V905,235.0,45.0,18.0,V,98.0,19090.0,7.0,2.0
2343,Nokian,Tyres WR D4,215.0,45.0,16.0,H,90.0,10990.0,23.0,0.0
2344,Nokian,Tyres WR D4,195.0,55.0,15.0,H,89.0,10540.0,23.0,0.0
2345,Nokian,Tyres WR D4,185.0,65.0,14.0,T,82.0,7590.0,23.0,5.0
2346,Nokian,Tyres WR D4,215.0,55.0,16.0,H,93.0,12310.0,23.0,0.0
2347,Dunlop,Grandtrek Ice02,235.0,60.0,17.0,T,106.0,10312.0,14.0,5.0
2348,Dunlop,Grandtrek Ice02,285.0,50.0,20.0,T,116.0,15980.0,14.0,5.0
2349,Bridgestone,Blizzak Spike-02 SUV,255.0,65.0,17.0,T,110.0,21735.0,16.0,5.0
2350,Bridgestone,Blizzak Spike-02 SUV,235.0,55.0,18.0,T,104.0,17420.0,16.0,5.0
2351,Bridgestone,Blizzak Spike-02 SUV,265.0,45.0,21.0,T,104.0,25400.0,16.0,5.0
2352,Bridgestone,Blizzak Spike-02 SUV,275.0,55.0,20.0,T,117.0,21230.0,16.0,5.0
2353,Bridgestone,Blizzak Spike-02 SUV,245.0,55.0,19.0,T,103.0,16040.0,16.0,5.0
2354,Bridgestone,Blizzak Spike-02 SUV,265.0,65.0,17.0,T,116.0,17129.0,16.0,5.0
2355,Tigar,Ice SUV,235.0,65.0,17.0,T,108.0,10940.0,21.0,5.0
2356,Tigar,Winter SUV,235.0,60.0,18.0,H,107.0,11350.0,21.0,0.0
2357,Dunlop,Winter Maxx SJ8,255.0,50.0,19.0,R,107.0,16000.0,14.0,8.0
2358,Triangle,TRIN PL01,245.0,45.0,18.0,R,100.0,8690.0,36.0,8.0
2359,Bridgestone,Blizzak Spike-02 SUV,235.0,60.0,17.0,T,106.0,17430.0,16.0,5.0
2360,Bridgestone,Blizzak Spike-02 SUV,275.0,40.0,20.0,T,106.0,21050.0,16.0,5.0
2361,Bridgestone,Blizzak Spike-02 SUV,215.0,60.0,17.0,T,100.0,17100.0,16.0,5.0
2362,Bridgestone,Blizzak Spike-02 SUV,255.0,55.0,19.0,T,111.0,19230.0,16.0,5.0
2363,Tigar,Winter SUV,235.0,65.0,17.0,H,108.0,10990.0,21.0,0.0
2364,Bridgestone,Blizzak Spike-02 SUV,245.0,65.0,17.0,T,111.0,17820.0,16.0,5.0
2365,Bridgestone,Blizzak Spike-02 SUV,225.0,55.0,18.0,T,98.0,18020.0,16.0,5.0
2366,Firestone,ICE CRUISER 7,185.0,65.0,15.0,T,88.0,3850.0,35.0,5.0
2367,Tigar,Winter SUV,215.0,65.0,16.0,H,102.0,7900.0,21.0,0.0
2368,Yokohama,iceGUARD G075,235.0,65.0,17.0,Q,108.0,12170.0,7.0,9.0
